32,32,0
32,64,0
32,96,0
32,128,0
32,160,0
32,192,0
32,224,0
32,256,0
32,288,0
32,320,0
32,352,0
32,384,0
32,416,0
32,448,0
32,480,0
32,512,0
32,544,0
32,576,0
64,576,0
96,576,0
128,576,0
160,576,0
192,576,0
224,576,0
256,576,0
640,576,0
672,576,0
704,576,0
736,576,0
768,576,0
768,32,0
768,64,0
768,96,0
768,128,0
768,160,0
768,192,0
768,224,0
768,256,0
768,288,0
768,320,0
768,352,0
768,384,0
768,416,0
768,448,0
768,480,0
768,512,0
768,544,0
320,384,0
352,384,0
384,384,0
416,384,0
64,448,0
96,448,0
128,448,0
64,32,0
96,32,0
128,32,0
160,32,0
192,32,0
224,32,0
256,32,0
288,32,0
320,32,0
352,32,0
384,32,0
416,32,0
448,32,0
480,32,0
512,32,0
544,32,0
576,32,0
608,32,0
640,32,0
672,32,0
704,32,0
736,32,0
672,448,0
704,448,0
736,448,0
320,64,0
320,96,0
320,128,0
320,160,0
320,192,0
320,224,0
352,224,0
384,224,0
416,224,0
448,224,0
480,224,0
704,288,0
736,288,0
448,384,0
288,384,0
576,224,0
448,512,0
384,128,2
96,512,1
